Vernier Format 2
l4hcl.txt 11/9/2022 12:51:2
Run 1
Volume	pH	
V	p	
mL		

0.000	2.75	
0.147	2.74	
0.294	2.74	
0.441	2.74	
0.587	2.74	
0.734	2.74	
0.881	2.74	
1.028	2.74	
1.175	2.73	
1.322	2.74	
1.468	2.74	
1.615	2.74	
1.762	2.74	
1.909	2.74	
2.056	2.74	
2.203	2.74	
2.349	2.75	
2.496	2.75	
2.643	2.75	
2.790	2.75	
2.937	2.75	
3.084	2.75	
3.231	2.75	
3.377	2.75	
3.524	2.75	
3.671	2.75	
3.818	2.75	
3.965	2.75	
4.112	2.75	
4.258	2.75	
4.405	2.75	
4.552	2.75	
4.699	2.75	
4.846	2.75	
4.993	2.75	
5.140	2.75	
5.286	2.75	
5.433	2.75	
5.580	2.75	
5.727	2.75	
5.874	2.75	
6.021	2.75	
6.167	2.76	
6.314	2.76	
6.461	2.76	
6.608	2.76	
6.755	2.76	
6.902	2.76	
7.048	2.76	
7.195	2.77	
7.342	2.77	
7.489	2.77	
7.636	2.77	
7.783	2.77	
7.930	2.78	
8.076	2.79	
8.223	2.78	
8.370	2.78	
8.517	2.78	
8.664	2.78	
8.811	2.78	
8.957	2.78	
9.104	2.78	
9.251	2.79	
9.398	2.79	
9.545	2.79	
9.692	2.79	
9.838	2.79	
9.985	2.79	
10.132	2.80	
10.279	2.80	
10.426	2.80	
10.573	2.80	
10.720	2.80	
10.866	2.80	
11.013	2.81	
11.160	2.81	
11.307	2.81	
11.454	2.82	
11.601	2.82	
11.747	2.82	
11.894	2.82	
12.041	2.82	
12.188	2.82	
12.335	2.82	
12.482	2.83	
12.628	2.82	
12.775	2.83	
12.922	2.84	
13.069	2.84	
13.216	2.84	
13.363	2.84	
13.510	2.84	
13.656	2.85	
13.803	2.85	
13.950	2.85	
14.097	2.85	
14.244	2.86	
14.391	2.86	
14.537	2.86	
14.684	2.86	
14.831	2.86	
14.978	2.86	
15.125	2.87	
15.272	2.87	
15.419	2.87	
15.565	2.87	
15.712	2.87	
15.859	2.88	
16.006	2.88	
16.153	2.89	
16.300	2.89	
16.446	2.89	
16.593	2.89	
16.740	2.91	
16.887	2.91	
17.034	2.91	
17.181	2.91	
17.327	2.92	
17.474	2.92	
17.621	2.92	
17.768	2.94	
17.915	2.94	
18.062	2.95	
18.209	2.95	
18.355	2.96	
18.502	2.97	
18.649	2.98	
18.796	2.98	
18.943	2.99	
19.090	2.99	
19.236	2.99	
19.383	3.00	
19.530	3.00	
19.677	3.00	
19.824	3.01	
19.971	3.01	
20.117	3.02	
20.264	3.03	
20.411	3.03	
20.558	3.03	
20.705	3.03	
20.852	3.04	
20.999	3.05	
21.145	3.05	
21.292	3.05	
21.439	3.05	
21.586	3.06	
21.733	3.06	
21.880	3.07	
22.026	3.07	
22.173	3.08	
