Vernier Format 2
l4uk.txt 11/9/2022 13:14:33
Run 1
Volume	pH	
V	p	
mL		

0.000	3.13	
0.036	3.12	
0.071	3.13	
0.107	3.12	
0.143	3.12	
0.179	3.13	
0.214	3.13	
0.250	3.13	
0.286	3.13	
0.321	3.13	
0.357	3.13	
0.393	3.13	
0.429	3.13	
0.464	3.13	
0.500	3.13	
0.536	3.13	
0.571	3.13	
0.607	3.13	
0.643	3.13	
0.679	3.13	
0.714	3.13	
0.750	3.13	
0.786	3.14	
0.821	3.14	
0.857	3.14	
0.893	3.14	
0.929	3.14	
0.964	3.14	
1.000	3.14	
1.036	3.14	
1.071	3.14	
1.107	3.14	
1.143	3.14	
1.179	3.14	
1.214	3.14	
1.250	3.15	
1.286	3.15	
1.321	3.17	
1.357	3.17	
1.393	3.17	
1.429	3.17	
1.464	3.17	
1.500	3.18	
1.536	3.18	
1.571	3.18	
1.607	3.18	
1.643	3.17	
1.679	3.19	
1.714	3.19	
1.750	3.18	
1.786	3.17	
1.821	3.17	
1.857	3.17	
1.893	3.17	
1.929	3.17	
1.964	3.18	
2.000	3.17	
2.036	3.17	
2.071	3.18	
2.107	3.18	
2.143	3.18	
2.179	3.18	
2.214	3.18	
2.250	3.19	
2.286	3.19	
2.321	3.19	
2.357	3.19	
2.393	3.19	
2.429	3.20	
2.464	3.20	
2.500	3.20	
2.536	3.20	
2.571	3.21	
2.607	3.22	
2.643	3.22	
2.679	3.22	
2.714	3.22	
2.750	3.23	
2.786	3.23	
2.821	3.22	
2.857	3.22	
2.893	3.23	
2.929	3.23	
2.964	3.23	
3.000	3.23	
3.036	3.23	
3.071	3.23	
3.107	3.24	
3.143	3.24	
3.179	3.25	
3.214	3.25	
3.250	3.26	
3.286	3.27	
3.321	3.27	
3.357	3.26	
3.393	3.26	
3.429	3.27	
3.464	3.27	
3.500	3.28	
3.536	3.28	
3.571	3.29	
3.607	3.29	
3.643	3.29	
3.679	3.29	
3.714	3.31	
3.750	3.31	
3.786	3.32	
3.821	3.32	
3.857	3.32	
3.893	3.33	
3.929	3.33	
3.964	3.33	
4.000	3.34	
4.036	3.34	
4.071	3.35	
4.107	3.36	
4.143	3.38	
4.179	3.39	
4.214	3.38	
4.250	3.39	
4.286	3.40	
4.321	3.41	
4.357	3.41	
4.393	3.43	
4.429	3.43	
4.464	3.44	
4.500	3.44	
4.536	3.44	
4.571	3.45	
4.607	3.46	
4.643	3.48	
4.679	3.48	
4.714	3.49	
4.750	3.50	
4.786	3.52	
4.821	3.53	
4.857	3.54	
4.893	3.60	
4.929	3.61	
4.964	3.60	
5.000	3.60	
5.036	3.61	
5.071	3.63	
5.107	3.63	
5.143	3.64	
5.179	3.66	
5.214	3.67	
5.250	3.68	
5.286	3.71	
5.321	3.78	
5.357	3.82	
5.393	3.86	
