Vernier Format 2
trial1l2.txt 6/12/2022 1:53:5
Run 1
Time	Temperature	
T	T	
s	°C	

0.0	23.3	
0.5	23.2	
1.0	23.3	
1.5	23.2	
2.0	23.2	
2.5	23.2	
3.0	23.1	
3.5	23.1	
4.0	23.1	
4.5	23.1	
5.0	23.0	
5.5	23.0	
6.0	22.9	
6.5	22.9	
7.0	22.9	
7.5	22.8	
8.0	22.8	
8.5	22.7	
9.0	22.7	
9.5	22.6	
10.0	22.5	
10.5	22.5	
11.0	22.4	
11.5	22.3	
12.0	22.3	
12.5	22.3	
13.0	22.2	
13.5	22.2	
14.0	22.1	
14.5	22.1	
15.0	22.1	
15.5	22.1	
16.0	22.1	
16.5	22.0	
17.0	22.0	
17.5	22.0	
18.0	22.0	
18.5	21.9	
19.0	21.8	
19.5	21.8	
20.0	21.8	
20.5	21.7	
21.0	21.7	
21.5	21.6	
22.0	21.6	
22.5	21.6	
23.0	21.6	
23.5	21.5	
24.0	21.5	
24.5	21.5	
25.0	21.4	
25.5	21.4	
26.0	21.5	
26.5	21.5	
27.0	21.4	
27.5	21.4	
28.0	21.4	
28.5	21.3	
29.0	21.3	
29.5	21.3	
30.0	21.2	
30.5	21.1	
31.0	21.1	
31.5	21.0	
32.0	21.0	
32.5	21.0	
33.0	21.0	
33.5	20.9	
34.0	20.9	
34.5	20.9	
35.0	20.9	
35.5	20.8	
36.0	20.8	
36.5	20.8	
37.0	20.8	
37.5	20.7	
38.0	20.7	
38.5	20.7	
39.0	20.7	
39.5	20.6	
40.0	20.5	
40.5	20.5	
41.0	20.5	
41.5	20.5	
42.0	20.4	
42.5	20.4	
43.0	20.4	
43.5	20.5	
44.0	20.5	
44.5	20.5	
45.0	20.5	
45.5	20.5	
46.0	20.4	
46.5	20.5	
47.0	20.4	
47.5	20.4	
48.0	20.4	
48.5	20.4	
49.0	20.4	
49.5	20.4	
50.0	20.4	
50.5	20.4	
51.0	20.4	
51.5	20.4	
52.0	20.4	
52.5	20.4	
53.0	20.4	
53.5	20.4	
54.0	20.4	
54.5	20.4	
55.0	20.4	
55.5	20.3	
56.0	20.3	
56.5	20.3	
57.0	20.3	
57.5	20.4	
58.0	20.4	
58.5	20.4	
59.0	20.4	
59.5	20.4	
60.0	20.4	
60.5	20.4	
61.0	20.3	
61.5	20.3	
62.0	20.4	
62.5	20.2	
63.0	20.4	
63.5	20.2	
64.0	20.2	
64.5	20.2	
65.0	20.2	
65.5	20.2	
66.0	20.1	
66.5	20.1	
67.0	20.1	
67.5	20.2	
68.0	20.1	
68.5	20.1	
69.0	20.1	
69.5	20.1	
70.0	20.2	
70.5	20.1	
71.0	20.1	
71.5	20.1	
72.0	20.1	
72.5	20.1	
73.0	20.0	
73.5	20.0	
74.0	20.0	
74.5	20.0	
75.0	20.0	
75.5	20.0	
76.0	20.0	
76.5	19.9	
77.0	19.9	
77.5	19.9	
78.0	19.9	
78.5	19.9	
79.0	19.9	
79.5	19.9	
80.0	19.9	
80.5	20.0	
81.0	20.0	
81.5	20.0	
82.0	19.9	
82.5	19.9	
83.0	19.9	
83.5	19.9	
84.0	20.0	
84.5	20.0	
85.0	20.0	
85.5	20.0	
86.0	20.0	
86.5	20.0	
87.0	20.0	
87.5	20.0	
88.0	20.0	
88.5	19.9	
89.0	20.0	
89.5	20.1	
90.0	20.1	
90.5	20.1	
91.0	20.1	
91.5	20.1	
92.0	20.0	
92.5	20.0	
93.0	19.9	
93.5	19.9	
94.0	19.9	
94.5	19.9	
95.0	19.9	
95.5	19.9	
96.0	19.9	
96.5	19.9	
97.0	19.9	
97.5	19.9	
98.0	19.9	
98.5	19.9	
99.0	19.8	
99.5	19.8	
100.0	19.8	
100.5	19.8	
101.0	19.7	
101.5	19.7	
102.0	19.7	
102.5	19.7	
103.0	19.7	
103.5	19.7	
104.0	19.8	
104.5	19.9	
105.0	19.9	
105.5	19.9	
106.0	19.8	
106.5	19.8	
107.0	19.8	
107.5	19.8	
108.0	19.8	
108.5	19.8	
109.0	19.8	
109.5	19.8	
110.0	19.8	
110.5	19.8	
111.0	19.8	
111.5	19.8	
112.0	19.8	
112.5	19.8	
113.0	19.9	
113.5	19.9	
114.0	19.9	
114.5	19.9	
115.0	19.9	
115.5	19.9	
116.0	19.8	
116.5	19.8	
117.0	19.8	
117.5	19.7	
118.0	19.8	
118.5	19.8	
119.0	19.7	
119.5	19.7	
120.0	19.7	
120.5	19.8	
121.0	19.8	
121.5	19.7	
122.0	19.7	
122.5	19.7	
123.0	19.7	
123.5	19.7	
124.0	19.7	
124.5	19.7	
125.0	19.7	
125.5	19.6	
126.0	19.6	
126.5	19.6	
127.0	19.6	
127.5	19.6	
128.0	19.5	
128.5	19.6	
129.0	19.5	
129.5	19.6	
130.0	19.6	
130.5	19.7	
131.0	19.6	
131.5	19.6	
132.0	19.7	
132.5	19.7	
133.0	19.7	
133.5	19.7	
134.0	19.7	
134.5	19.7	
135.0	19.7	
135.5	19.7	
136.0	19.7	
136.5	19.7	
137.0	19.7	
137.5	19.7	
138.0	19.8	
138.5	19.8	
139.0	19.8	
139.5	19.8	
140.0	19.8	
140.5	19.9	
141.0	19.7	
141.5	19.6	
142.0	19.7	
142.5	19.6	
143.0	19.7	
143.5	19.6	
144.0	19.6	
144.5	19.6	
145.0	19.6	
145.5	19.7	
146.0	19.6	
146.5	19.6	
147.0	19.6	
147.5	19.6	
148.0	19.6	
148.5	19.6	
149.0	19.5	
149.5	19.5	
150.0	19.5	
150.5	19.5	
151.0	19.5	
151.5	19.5	
152.0	19.5	
152.5	19.6	
153.0	19.6	
153.5	19.7	
154.0	19.7	
154.5	19.6	
155.0	19.7	
155.5	19.6	
156.0	19.6	
156.5	19.6	
157.0	19.6	
157.5	19.6	
158.0	19.6	
158.5	19.6	
159.0	19.6	
159.5	19.6	
160.0	19.6	
160.5	19.7	
161.0	19.8	
161.5	19.8	
162.0	19.8	
162.5	19.7	
163.0	19.8	
163.5	19.7	
164.0	19.6	
164.5	19.6	
165.0	19.6	
165.5	19.6	
166.0	19.7	
166.5	19.6	
167.0	19.6	
167.5	19.6	
168.0	19.6	
168.5	19.6	
169.0	19.6	
169.5	19.6	
170.0	19.6	
170.5	19.6	
171.0	19.6	
171.5	19.5	
172.0	19.5	
172.5	19.4	
173.0	19.4	
173.5	19.4	
174.0	19.5	
174.5	19.5	
175.0	19.5	
175.5	19.6	
176.0	19.6	
176.5	19.6	
177.0	19.6	
177.5	19.6	
178.0	19.6	
178.5	19.6	
179.0	19.6	
179.5	19.6	
180.0	19.6	
180.5	19.6	
181.0	19.6	
181.5	19.6	
182.0	19.6	
182.5	19.6	
183.0	19.6	
183.5	19.6	
184.0	19.6	
184.5	19.6	
185.0	19.6	
185.5	19.6	
186.0	19.6	
186.5	19.6	
187.0	19.6	
187.5	19.7	
188.0	19.7	
188.5	19.8	
189.0	19.7	
189.5	19.8	
190.0	19.7	
190.5	19.8	
191.0	19.7	
191.5	19.7	
192.0	19.7	
192.5	19.7	
193.0	19.7	
193.5	19.8	
194.0	19.7	
194.5	19.8	
195.0	19.7	
195.5	19.6	
196.0	19.6	
196.5	19.6	
197.0	19.6	
197.5	19.6	
198.0	19.6	
198.5	19.6	
199.0	19.6	
199.5	19.6	
200.0	19.6	
200.5	19.6	
201.0	19.6	
201.5	19.6	
202.0	19.6	
202.5	19.6	
203.0	19.6	
203.5	19.6	
204.0	19.6	
204.5	19.6	
205.0	19.6	
205.5	19.6	
206.0	19.6	
206.5	19.6	
207.0	19.6	
207.5	19.6	
208.0	19.6	
208.5	19.6	
209.0	19.6	
209.5	19.6	
210.0	19.6	
210.5	19.6	
211.0	19.6	
211.5	19.5	
212.0	19.5	
212.5	19.5	
213.0	19.5	
213.5	19.5	
214.0	19.5	
214.5	19.5	
215.0	19.4	
215.5	19.4	
216.0	19.4	
216.5	19.4	
217.0	19.4	
217.5	19.4	
218.0	19.4	
218.5	19.4	
219.0	19.4	
219.5	19.4	
220.0	19.5	
220.5	19.4	
221.0	19.5	
221.5	19.5	
222.0	19.6	
222.5	19.5	
223.0	19.6	
223.5	19.6	
224.0	19.6	
224.5	19.6	
225.0	19.6	
225.5	19.6	
226.0	19.5	
226.5	19.6	
227.0	19.6	
227.5	19.5	
228.0	19.6	
228.5	19.6	
229.0	19.6	
229.5	19.6	
230.0	19.6	
230.5	19.6	
231.0	19.6	
231.5	19.6	
232.0	19.6	
232.5	19.6	
233.0	19.6	
233.5	19.6	
234.0	19.6	
234.5	19.6	
235.0	19.6	
235.5	19.6	
236.0	19.6	
236.5	19.7	
237.0	19.7	
237.5	19.7	
238.0	19.7	
238.5	19.7	
239.0	19.7	
239.5	19.7	
240.0	19.7	
240.5	19.7	
241.0	19.7	
241.5	19.7	
242.0	19.6	
242.5	19.8	
243.0	19.7	
243.5	19.6	
244.0	19.6	
244.5	19.6	
245.0	19.6	
245.5	19.6	
246.0	19.6	
246.5	19.6	
247.0	19.6	
247.5	19.6	
248.0	19.6	
248.5	19.6	
249.0	19.6	
249.5	19.6	
250.0	19.6	
250.5	19.6	
251.0	19.6	
251.5	19.6	
252.0	19.6	
252.5	19.6	
253.0	19.6	
253.5	19.6	
254.0	19.6	
254.5	19.6	
255.0	19.6	
255.5	19.6	
256.0	19.6	
256.5	19.6	
257.0	19.6	
257.5	19.6	
258.0	19.6	
258.5	19.6	
259.0	19.6	
259.5	19.6	
260.0	19.6	
260.5	19.6	
261.0	19.6	
261.5	19.5	
262.0	19.5	
262.5	19.5	
263.0	19.5	
263.5	19.5	
264.0	19.5	
264.5	19.5	
265.0	19.4	
265.5	19.5	
266.0	19.5	
266.5	19.4	
267.0	19.5	
267.5	19.5	
268.0	19.5	
268.5	19.5	
269.0	19.5	
269.5	19.5	
270.0	19.5	
270.5	19.4	
271.0	19.5	
271.5	19.6	
272.0	19.8	
272.5	20.0	
273.0	20.2	
273.5	20.2	
274.0	20.3	
274.5	20.3	
275.0	20.3	
275.5	20.2	
276.0	20.4	
276.5	20.3	
277.0	20.4	
277.5	20.5	
278.0	20.5	
278.5	20.5	
279.0	20.6	
279.5	20.7	
280.0	20.7	
280.5	20.7	
281.0	20.7	
281.5	20.8	
282.0	20.7	
282.5	20.7	
283.0	20.7	
283.5	20.7	
284.0	20.7	
284.5	20.7	
285.0	20.8	
285.5	20.8	
286.0	20.8	
286.5	20.9	
287.0	20.9	
287.5	20.9	
288.0	21.0	
288.5	21.0	
289.0	21.0	
289.5	21.1	
290.0	21.1	
290.5	21.1	
291.0	21.1	
291.5	21.2	
292.0	21.3	
292.5	21.3	
293.0	21.3	
293.5	21.3	
294.0	21.3	
294.5	21.3	
295.0	21.3	
295.5	21.3	
296.0	21.2	
296.5	21.2	
297.0	21.2	
297.5	21.2	
298.0	21.2	
298.5	21.2	
299.0	21.2	
299.5	21.1	
300.0	21.1	
